관리번호,자치구,와이파이명,도로명주소,상세주소,설치위치(층),설치유형,설치기관,서비스구분,망종류,설치년도,실내외구분,wifi접속환경,X좌표,Y좌표,작업일자,,
BS100229,강서구,양천향교역.휴먼빌아파트,강서로 490,16-225,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.84157,37.568977,57:50.0,,
BS100230,강서구,염창동새마을금고,염창동 250-15,16-247,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.87332,37.550236,57:50.0,,
BS100231,강서구,염창동아3차아파트.나이아가라호텔,염창동 284-66,16-245,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.877625,37.54912,57:50.0,,
BS100232,강서구,염창동한마음.관음삼성아파트,염창동 244-28,16-249,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.86972,37.553047,57:50.0,,
BS100233,강서구,염창역.서울도시가스,공항대로,16-001,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.875885,37.547096,57:50.0,,
BS100234,강서구,염창역.서울도시가스,공항대로,16-002,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.87506,37.546856,57:50.0,,
BS100235,강서구,외발산신광명마을,외'발산동 234-8,16-151,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.821526,37.546066,57:50.0,,
BS100236,강서구,외발산신광명마을,발산1 263,16-152,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82113,37.54596,57:50.0,,
BS100237,강서구,우장산역,강서로 266,16-213,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.8365,37.54924,57:50.0,,
BS100238,강서구,한국가스기술공사,공항대로,16-011,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.8455,37.557854,57:50.0,,
BS100239,강서구,한국가스기술공사,공항대로,16-012,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.843254,37.557873,57:50.0,,
BS100240,강서구,한국공항공사,공항동 676-1,16-410,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.798874,37.56243,57:50.0,,
BS100241,강서구,화곡푸르지오,화곡3 1068-31,16-150,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.83448,37.54015,57:50.0,,
BS101454,강서구,한국폴리텍1.서울강서대학교,화곡본동 24-128 한국폴리텍1.서울강서대학교(16-143),16-143,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.845276,37.54609,57:51.0,,
BS101455,강서구,아이파크아파트.백석중학교.실로암안과,등촌2 513-14 아이파크아파트.백석중학교.실로암안과(16-174),16-174,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.862144,37.545143,57:51.0,,
BS101456,강서구,목동사거리,화곡4 775-5 목동사거리(16-178),16-178,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.86351,37.532764,57:51.0,,
BS101457,강서구,화원중학교,가로공원로 219 화원중학교(16-202),16-202,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.84043,37.537975,57:51.0,,
BS101458,강서구,명덕고등학교.웰튼병원,내발산동 677-9 명덕고등학교.웰튼병원(16-215),16-215,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.8367,37.55312,57:51.0,,
BS101459,강서구,명덕고등학교.웰튼병원,내발산동 678-7 명덕고등학교.웰튼병원(16-216),16-216,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.83637,37.55329,57:51.0,,
BS101460,강서구,마곡나루역4번출구,마곡동 372-8 마곡나루역4번출구(16-385),16-385,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82781,37.565052,57:51.0,,
BS101461,강서구,마곡나루역5번출구,마곡동 372-6 마곡나루역5번출구(16-386),16-386,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82749,37.565052,57:51.0,,
BS101462,강서구,마곡역교차로,마곡동 727-1113 마곡역교차로(16-387),16-387,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82844,37.55937,57:51.0,,
BS101463,강서구,이대서울병원,마곡동 727-1184 이대서울병원(16-388),16-388,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.83456,37.558746,57:51.0,,
BS101464,강서구,마곡나루역,마곡동 366-2 마곡나루역(16-396),16-396,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82594,37.56678,57:51.0,,
BS101465,강서구,마곡나루역1번출구,마곡동 367-11 마곡나루역1번출구(16-399),16-399,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82655,37.566956,57:51.0,,
BS101466,강서구,마곡수명산파크7단지,내발산동 754-3 마곡수명산파크7단지(16-421),16-421,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82276,37.54932,57:51.0,,
BS101467,강서구,발산역9번출구,가양동 972 발산역9번출구(16-429),16-429,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.836685,37.558853,57:51.0,,
BS101468,강서구,마곡나루역,마곡동 280-2 마곡나루역(16-606),16-606,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.82763,37.567184,57:51.0,,
BS101469,강서구,롯데R&D센터,마곡동 295-3 롯데R&D센터(16-608),16-608,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.827866,37.569912,57:51.0,,
BS101576,강서구,공항동천주교회,공항동 687-15,16-160,,5. 버스정류소,과기부(버스정류소),과기부WiFi,임대망,2020,실외,,126.81192,37.555637,57:51.0,,
GS010007,강서구,보건소,염창동 275-12  지하 1층,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2016,실내,,126.86831,37.549664,57:52.0,,
GS010008,강서구,보건소,염창동 275-12  1층,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2011,실내,,126.86831,37.549664,57:52.0,,
GS010009,강서구,보건소,염창동 275-12  2층,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2011,실내,,126.86831,37.549664,57:52.0,,
GS010010,강서구,보건소,염창동 275-12  3층,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2011,실내,,126.86831,37.549664,57:52.0,,
GS010011,강서구,보건소,염창동 275-12  3층(의약과  복도),,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2016,실내,,126.86831,37.549664,57:52.0,,
GS010012,강서구,보건소,염창동 275-12  4층,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2011,실내,,126.86831,37.549664,57:52.0,,
GS010013,강서구,보건소,염창동 275-12  4층 위생관리과,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2013,실내,,126.84108,37.535477,57:52.0,,
GS010014,강서구,보건소,염창동 275-12  4층 의약과,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2019,실내,,126.86831,37.549664,57:52.0,,
GS010015,강서구,화곡보건분소,화곡1동 366-1  2층 복도,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2019,실내,,126.86831,37.549664,57:52.0,,
GS010016,강서구,보건소,염창동 275-12  옆면 2층 외벽,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2019,실외,,126.868484,37.549507,57:52.0,,
GS010017,강서구,보건소,염창동 275-12  복도 창가 밖,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2019,실외,,126.86821,37.54958,57:52.0,,
GS010018,강서구,보건소,염창동 275-12  후면 옆,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2019,실외,,126.86833,37.549698,57:52.0,,
GS010019,강서구,염창동,염창동 53-1  1층,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2011,실내,,126.87092,37.553818,57:52.0,,
GS010020,강서구,염창동,염창동 53-1  지하 헬스장,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2016,실내,,126.87092,37.553818,57:52.0,,
GS010021,강서구,염창동,염창동 53-1  지하 에어로빅실,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2016,실내,,126.85896,37.556057,57:52.0,,
GS010022,강서구,염창동,염창동 53-1  2층 아리향기작은도서관,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2011,실내,,126.85896,37.556057,57:52.0,,
GS010023,강서구,염창동,염창동 53-1  정면 2층  외벽,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2019,실외,,126.87102,37.55365,57:52.0,,
GS010024,강서구,꿈꾸는 어린이 도서관,염창동 281-25  강서평생학습관 1층 제2강의실,,,4. 문화관광,체육시설,자치구,공공WiFi,자가망U무선망,2016,실내,,126.873314,37.54729,57:52.0,
GS010025,강서구,꿈꾸는 어린이 도서관,염창동 281-25  강서평생학습관 3층,,,4. 문화관광,체육시설,자치구,공공WiFi,자가망U무선망,2011,실내,,126.81685,37.57051,57:52.0,
GS010026,강서구,꿈꾸는 어린이 도서관,염창동 281-25  강서평생학습관 4층,,,4. 문화관광,체육시설,자치구,공공WiFi,자가망U무선망,2013,실내,,126.81685,37.57051,57:52.0,
GS010030,강서구,염창동지역정보센터,염창동 270-1  정면 1층,,,7-2. 커뮤니티 - 경제,자치구,공공WiFi,자가망U무선망,2019,실외,,126.86691,37.553555,57:52.0,,
GS010037,강서구,강서평생학습관,염창동 281-25  정면 2층,,,7-3. 커뮤니티 - 지역,자치구,공공WiFi,자가망U무선망,2019,실외,,126.87305,37.547234,57:52.0,,
GS010038,강서구,염창동,염창동 53-1  4층 옥상,,,7-1. 커뮤니티 - 행정,자치구,공공WiFi,자가망U무선망,2019,실내,,126.85896,37.556057,57:52.0,,
GS010039,강서구,염창동,염창동 240-1,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86578,37.557873,57:52.0,,
GS010041,강서구,염창동,염창동 산 32-9,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.8678,37.556496,57:52.0,,
GS010042,강서구,염창동,염창동 74-3,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.87106,37.555424,57:52.0,,
GS010043,강서구,염창동,염창동 245-1,,,1. 주요거리,자치구에스넷1차,공공WiFi,자가망U무선망(S-NET),2020,실외,,126.86966,37.554333,57:52.0,,
