교육청명,교육지원청명,유치원코드,유치원명,설립유형,건축년도,건물층수,건물전용면적,대지총면적,공시차수,주소
서울특별시교육청,강서양천교육지원청,1ecec08d-05b7-b044-e053-0a32095ab044,국제유치원,사립(사인),1990년,지상4층/ 지하1층,732㎡,973㎡,20211,서울특별시 강서구 양천로30길 4
서울특별시교육청,강서양천교육지원청,1ecec08d-05b9-b044-e053-0a32095ab044,등촌제일유치원,사립(법인),2004년,지상2층/ 지하0층,819㎡,971㎡,20211,서울특별시 강서구 화곡로66길 118
서울특별시교육청,강서양천교육지원청,1ecec08d-06b7-b044-e053-0a32095ab044,미래클유치원,사립(사인),2008년,지상3층/ 지하1층,1860㎡,890㎡,20191,서울특별시 강서구 수명로1길 76
서울특별시교육청,강서양천교육지원청,1ecec08d-08ba-b044-e053-0a32095ab044,장미유치원,사립(사인),1993년,지상2층/ 지하1층,737㎡,746㎡,20211,서울특별시 강서구 허준로 139
서울특별시교육청,강서양천교육지원청,1ecec08d-08bd-b044-e053-0a32095ab044,홍신유치원,사립(사인),1982년,지상3층/ 지하1층,680㎡,885㎡,20211,서울특별시 강서구 강서로45길 63
서울특별시교육청,강서양천교육지원청,1ecec08d-0993-b044-e053-0a32095ab044,아람유치원,사립(사인),1993년,지상2층/ 지하1층,653㎡,584㎡,20211,서울특별시 강서구 금낭화로23길 8
서울특별시교육청,강서양천교육지원청,1ecec08d-09f0-b044-e053-0a32095ab044,서울화일초등학교병설유치원,공립(병설),2005년,지상5층/ 지하2층,858㎡,7232㎡,20211,서울특별시 강서구 까치산로10길 70
서울특별시교육청,강서양천교육지원청,1ecec08d-0b2b-b044-e053-0a32095ab044,윤서유치원,사립(사인),2003년,지상2층/ 지하0층,581㎡,665㎡,20211,서울특별시 강서구 화곡로13길 107
서울특별시교육청,강서양천교육지원청,1ecec08d-0c02-b044-e053-0a32095ab044,미도유치원,사립(사인),1986년,지상2층/ 지하1층,427㎡,1127㎡,20211,서울특별시 강서구 공항대로58가길 39
서울특별시교육청,강서양천교육지원청,1ecec08d-0d31-b044-e053-0a32095ab044,해리유치원,사립(사인),1993년,지상2층/ 지하1층,838㎡,833㎡,20211,서울특별시 강서구 허준로 234
서울특별시교육청,강서양천교육지원청,1ecec08d-0f76-b044-e053-0a32095ab044,예일유치원,사립(사인),2007년,지상3층/ 지하1층,2476㎡,2531㎡,20211,서울특별시 강서구 강서로47길 126
서울특별시교육청,강서양천교육지원청,1ecec08d-0f78-b044-e053-0a32095ab044,우현유치원,사립(사인),2005년,지상3층/ 지하1층,903㎡,903㎡,20211,서울특별시 강서구 강서로 348
서울특별시교육청,강서양천교육지원청,1fc6dd86-ccbb-d1d2-e053-0a32095ad1d2,윤희유치원,사립(사인),2014년,지상3층/ 지하1층,937㎡,1000㎡,20211,서울특별시 강서구 강서로 216-23
서울특별시교육청,강서양천교육지원청,1fc6dd86-ccca-d1d2-e053-0a32095ad1d2,서울마곡유치원,공립(단설),2015년,지상4층/ 지하1층,3288㎡,1500㎡,20211,서울특별시 강서구 마곡서1로 139-13
서울특별시교육청,강서양천교육지원청,1fd6777e-1513-e0b0-e053-0a32095ae0b0,밤비니유치원,사립(사인),2011년,지상4층/ 지하0층,1087㎡,366㎡,20211,서울특별시 강서구 남부순환로7길 39
서울특별시교육청,강서양천교육지원청,1fd6777e-1532-e0b0-e053-0a32095ae0b0,행복한유치원,사립(사인),1987년,지상3층/ 지하0층,690㎡,610㎡,20211,서울특별시 강서구 강서로62길 40
서울특별시교육청,강서양천교육지원청,49466743-6302-46e6-beb6-71a05883b7fd,서울수명유치원,공립(단설),2008년,지상4층/ 지하1층,2243㎡,2534㎡,20211,서울특별시 강서구 수명로1길 76
서울특별시교육청,강서양천교육지원청,4c985951-85b6-4625-a43d-c1a1a42855fa,새싹유치원,사립(사인),2015년,지상4층/ 지하1층,733㎡,1116㎡,20201,서울특별시 강서구 곰달래로49길 10
서울특별시교육청,강서양천교육지원청,4cac393c-4205-4ac0-86c0-6f16aa97cae0,나나유치원,사립(사인),2015년,지상4층/ 지하1층,716㎡,349㎡,20211,서울특별시 강서구 등촌로13바길 46
서울특별시교육청,강서양천교육지원청,53e84c27-6bdd-49a9-9c73-887fa8bd28a2,서울금낭화유치원,공립(단설),2018년,지상4층/ 지하0층,736㎡,52304㎡,20211,서울특별시 강서구 금낭화로 35
서울특별시교육청,강서양천교육지원청,7721e609-bd73-448b-8b96-f988a1c4757d,서울등촌초등학교병설유치원,공립(병설),1982년,지상3층/ 지하0층,1279㎡,11564㎡,20211,서울특별시 강서구 등촌로39길 71
서울특별시교육청,강서양천교육지원청,8114e0a3-e56e-47e5-a5d6-c2eef91cbed7,서울탑산초등학교병설유치원,공립(병설),2015년,지상1층/ 지하0층,647㎡,11194㎡,20211,서울특별시 강서구 허준로 109
서울특별시교육청,강서양천교육지원청,cd859395-2ba1-4f95-a3db-7c7a75b2d320,서울송정초등학교병설유치원,공립(병설),2019년,지상2층/ 지하0층,957㎡,23366㎡,20211,서울특별시 강서구 공항대로3길 18
서울특별시교육청,강서양천교육지원청,d0fe68a4-a1df-44ce-9072-87f9da3c301a,서울개화초등학교병설유치원,공립(병설),2018년,지상2층/ 지하0층,438㎡,9646㎡,20211,서울특별시 강서구 양천로 11
서울특별시교육청,강서양천교육지원청,da318554-85fa-494c-9ab9-60fd25bb0ce2,이솔유치원,사립(사인),1997년,지상5층/ 지하0층,412㎡,157㎡,20211,서울특별시 강서구 곰달래로33가길 6
서울특별시교육청,강서양천교육지원청,fd885965-9f40-46c1-879e-82acd096a57e,서울가양초등학교병설유치원,공립(병설),1992년,지상2층/ 지하0층,894㎡,11089㎡,20211,서울특별시 강서구 허준로 186
서울특별시교육청,강서양천교육지원청,fe178e0b-2595-4d65-863b-0d8924203e02,서울등명초등학교병설유치원,공립(병설),1994년,지상3층/ 지하0층,446㎡,12032㎡,20211,서울특별시 강서구 강서로56나길 34
